"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"59",59,59,14,0.5,NA,2,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,19,10.4,18,3.2,25,5,30,25,17,"Burlington",1,"High School or less","A-40-49","Y-Professional","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would","0-2","A-40-49"
"60",60,60,14,0.5,NA,1.8,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,11.1,13,28,3,35,4,26,50,17,"Burlington",2,"High School or less","G-50-59","M-Sales position","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","0-2","G-50-59"
"61",61,61,14,0.3,NA,2.8,"Yes","Yes",3,2,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,20.6,15.6,14,3.6,40,5,61,52,18,"Burlington",2,"High School or less","T-25-29","L-Managerial position","W-$40,000-$59,999","Stage shows","Carnival","Vendors","Parade","Food,bear,wine","$21-50","$21-50","$11-20","$11-20","$0-5","$21-50","$51-100","$51-100","$11-20","Definitely would","0-2","T-25-29"
"62",62,62,14,3,NA,4.4,"No","Yes",5,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,14,12,2.6,47,5,39,24.6,18,"Burlington",2,"High School or less","E-60-69","E-Reired","D-$20,000-$39,999","Parade","Stage shows","Food,bear,wine","Carnival","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would","0-2","E-60-69"
"63",63,63,14,0.2,NA,2.4,"Yes","Yes",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,13.8,16,12,3.6,20,2,56,10,20,"Burlington",4,"High School or less","V-20-24","O-Student full time","L-$80,000-$99,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$6-10","$11-20","Probably would not","3-5","V-20-24"
"64",64,64,14,1,NA,3,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,18,1,3,65,5,53,43,13,"Burlington",3,"High School or less","A-40-49","X-Self employed","B-$60,000-$79,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$6-10","$6-10","$11-20","$0-5","$0-5","$51-100","$51-100","$21-50","$11-20","Definitely would","3-5","A-40-49"
"65",65,65,14,0.1,NA,1.6,"Yes","Yes",3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,20.6,27,10,1.9,55,2,60,65,40,"Burlington",2,"University graduate","G-50-59","Y-Professional","U-$100,000 and more","Stage shows","Vendors","Carnival","Food,bear,wine","Parade","$21-50","$21-50","$21-50","$6-10","$0-5","$51-100","$51-100","$51-100","$21-50","Probably would not","0-2","G-50-59"
"66",66,66,14,1,NA,2.6,"Yes","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,18.4,27,19,7.4,55,5,25,33.6,11,"Burlington",1,"University graduate","D-30-39","Y-Professional","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$21-50","$11-20","$6-10","$51-100","$21-50","$21-50","$11-20","Definitely would","0-2","D-30-39"
"67",67,67,14,0.2,NA,2.6,"No","No",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27.7,27,17,2.2,25,3,52,50,68,"Other",3,"University graduate","A-40-49","L-Managerial position","U-$100,000 and more","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$21-50","$21-50","$21-50","$11-20","$0-5","$21-50","$51-100","$21-50","$51-100","Might or might not","3-5","A-40-49"
"68",68,68,14,0.1,NA,2.2,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,9.8,18,11,4.4,25,4,43,27,13,"Burlington",4,"High School or less","A-40-49","L-Managerial position","L-$80,000-$99,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","3-5","A-40-49"
"69",69,69,14,0.2,NA,3,"Yes","Yes",5,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,19.6,28,16,4.8,20,2,18,10,32,"Burlington",2,"High School or less","E-60-69","E-Reired","W-$40,000-$59,999","Parade","Stage shows","Vendors","Carnival","Food,bear,wine","$21-50","$11-20","$21-50","$11-20","$0-5","$11-20","$11-20","$6-10","$21-50","Probably would not","0-2","E-60-69"
"70",70,70,14,2,NA,2.4,"No","No",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,8.8,19,16,3,8,4,31,25.4,17,"Burlington",2,"High School or less","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$11-20","$6-10","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would","0-2","G-50-59"
"71",71,71,14,0.2,NA,1,"Yes","Yes",3,5,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,16.2,20,10,2.8,20,4,34,28,9,"Burlington",2,"High School or less","G-50-59","C-Other","B-$60,000-$79,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$21-50","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$6-10","Probably would","0-2","G-50-59"
"72",72,72,14,0.1,"Two times",2,"No","No",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,8.4,8.8,11,2,30,2,88,40,7,"Other",4,"Some university","V-20-24","O-Student full time","U-$100,000 and more","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$51-100","$21-50","$6-10","Probably would not","3-5","V-20-24"
"73",73,73,14,0.1,"Two times",1.6,"Yes","Yes",4,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,30,14,26,3.8,50,1,69,40,13,"Burlington",1,"High School or less","D-30-39","W-Other blue collar","W-$40,000-$59,999","Food,bear,wine","Stage shows","Vendors","Carnival","Vendors","$21-50","$21-50","$11-20","$21-50","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would not","0-2","D-30-39"
"74",74,74,14,1.5,NA,2,"No","No",3,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,17,13,2,15,2,56,69.6,49,"Burlington",1,"High School or less","G-50-59","Y-Professional","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Parade","Vendors","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","$51-100","$51-100","$21-50","Probably would not","0-2","G-50-59"
"75",75,75,14,0.5,NA,1.6,"Yes","Yes",3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,11,14,10,3,100,4,150,35,9,"Burlington",4,"High School or less","A-40-49","H-Office worker","W-$40,000-$59,999","Stage shows","Vendors","Food,bear,wine","Carnival","Parade","$11-20","$11-20","$11-20","$6-10","$0-5","$51-100","$101-200","$21-50","$6-10","Probably would","3-5","A-40-49"
"76",76,76,14,0.1,NA,2,"No","No",4,3,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10.4,21,13,4.2,45,3,45,150,38,"Other",3,"University graduate","D-30-39","D-Skilled labour","B-$60,000-$79,999","Food,bear,wine","Stage shows","Vendors","Carnival","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$101-200","$21-50","Might or might not","3-5","D-30-39"
"77",77,77,14,5,NA,1.4,"Yes","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5,13,12,3,20,4,40,54,17,"Burlington",3,"High School or less","D-30-39","L-Managerial position","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$51-100","$11-20","Probably would","3-5","D-30-39"
"78",78,78,14,2,NA,1.8,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55,2,11.5,12,1.8,15,2,45,46,19,"Burlington",2,"University graduate","D-30-39","B-Not employed outside of home","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would not","0-2","D-30-39"
"79",79,79,14,3,NA,2.2,"No","Yes",4,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,13.4,17.6,15,3,50,1,99,50,34,"Burlington",1,"University graduate","D-30-39","D-Skilled labour","U-$100,000 and more","Food,bear,wine","Stage shows","Parade","Carnival","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Definitely would not","0-2","D-30-39"
"80",80,80,14,0.5,NA,2.8,"No","No",3,2,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4,16,19,27,5.2,100,4,38,24,24,"Burlington",2,"Some or graduated from community college","T-25-29","H-Office worker","L-$80,000-$99,999","Stage shows","Carnival","Vendors","Parade","Food,bear,wine","$51-100","$11-20","$11-20","$21-50","$6-10","$51-100","$21-50","$21-50","$21-50","Probably would","0-2","T-25-29"
"81",81,81,14,2,NA,1.6,"Yes","No",3,2,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,13,3,30,4,20,15,14,"Burlington",2,"Some or graduated from community college","D-30-39","L-Managerial position","W-$40,000-$59,999","Stage shows","Carnival","Parade","Food,bear,wine","Vendors","$0-5","$6-10","$6-10","$11-20","$0-5","$21-50","$11-20","$11-20","$11-20","Probably would","0-2","D-30-39"
"82",82,82,14,1,NA,1.2,"Yes","No",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10,15,16,4.4,23,3,20,26,15,"Burlington",3,"University graduate","D-30-39","C-Other","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$6-10","$11-20","$11-20","$0-5","$21-50","$11-20","$21-50","$11-20","Might or might not","3-5","D-30-39"
"83",83,83,14,1,NA,2.4,"No","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,10.2,12,10,3,20,4,39,30,16,"Burlington",2,"High School or less","G-50-59","L-Managerial position","W-$40,000-$59,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would","0-2","G-50-59"
"84",84,84,14,1,NA,1.6,"Yes","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,5.8,8.8,18,2.2,40,5,75,50,14,"Burlington",2,"High School or less","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","0-2","G-50-59"
"85",85,85,14,0.1,"One time",2.8,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,49,31,25,5.2,100,1,75,75,27,"Burlington",4,"University graduate","G-50-59","W-Other blue collar","U-$100,000 and more","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$21-50","$21-50","$21-50","$6-10","$51-100","$51-100","$51-100","$21-50","Definitely would not","3-5","G-50-59"
"86",86,86,14,2,NA,2.8,"Yes","Yes",5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,8,15,11,7.2,50,4,20,52,20,"Burlington",2,"High School or less","B-70 and older","E-Reired","W-$40,000-$59,999","Parade","Stage shows","Food,bear,wine","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$6-10","$21-50","$11-20","$51-100","$11-20","Probably would","0-2","B-70 and older"
"87",87,87,14,0.3,NA,2.4,"Yes","Yes",2,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,12.1,17,15,2.2,25,4,58,10,13,"Burlington",5,"Some university","V-20-24","O-Student full time","D-$20,000-$39,999","Carnival","Stage shows","Food,bear,wine","Parade","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$6-10","$11-20","Probably would","3-5","V-20-24"
"88",88,88,14,0.1,NA,2.6,"No","No",3,5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7,22.9,19,4.2,25,4,30,10,8,"Burlington",2,"Some or graduated from community college","G-50-59","Y-Professional","L-$80,000-$99,999","Stage shows","Parade","Carnival","Food,bear,wine","Vendors","$21-50","$6-10","$21-50","$11-20","$0-5","$21-50","$21-50","$6-10","$6-10","Probably would","0-2","G-50-59"
"89",89,89,14,1,NA,2.8,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,9.7,13.4,12,1,20,1,55,32,5,"Burlington",2,"High School or less","E-60-69","E-Reired","W-$40,000-$59,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$21-50","$6-10","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$0-5","Definitely would not","0-2","E-60-69"
"90",90,90,14,0.3,NA,3.4,"No","No",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16.2,29,15,4.4,40,3,33,45,29,"Hamilton",3,"Some graduate school or graduate degree","G-50-59","A-Teacher","U-$100,000 and more","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Might or might not","3-5","G-50-59"
"91",91,91,14,0.5,NA,2.2,"No","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,14,18,2,50,1,32,25.4,16,"Burlington",2,"High School or less","V-20-24","C-Other","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$11-20","$6-10","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Definitely would not","0-2","V-20-24"
"92",92,92,14,0.2,NA,2,"Yes","No",3,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,9.4,24,18,4.2,50,5,100,75,23,"Burlington",1,"University graduate","V-20-24","M-Sales position","W-$40,000-$59,999","Stage shows","Food,bear,wine","Carnival","Parade","Vendors","$21-50","$6-10","$21-50","$11-20","$0-5","$21-50","$51-100","$51-100","$21-50","Definitely would","0-2","V-20-24"
"93",93,93,14,0.75,NA,2,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5.9,10.8,14,2.4,10,3,46,54,59,"Other",2,"Some or graduated from community college","D-30-39","H-Office worker","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$11-20","$6-10","$11-20","$11-20","$0-5","$6-10","$21-50","$51-100","$51-100","Might or might not","0-2","D-30-39"
"94",94,94,14,1,NA,3,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,3,7.8,11,1.6,10,2,64,30,17,"Burlington",4,"University graduate","A-40-49","Y-Professional","L-$80,000-$99,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$11-20","$0-5","$6-10","$11-20","$0-5","$6-10","$51-100","$21-50","$11-20","Probably would not","3-5","A-40-49"
"95",95,95,14,2,NA,1,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,4,6.4,15,2.4,5,5,74,35.1164285714286,57,"Other",5,"High School or less","V-20-24","R-Farming","L-$80,000-$99,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$11-20","$0-5","$6-10","$11-20","$0-5","$0-5","$51-100","$21-50","$51-100","Definitely would","3-5","V-20-24"
"96",96,96,14,0.3,NA,2,"Yes","No",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,10.6,8.4,15,2,20,2,40,40,31,"Burlington",1,"University graduate","D-30-39","Y-Professional","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$11-20","$11-20","$6-10","$11-20","$0-5","$11-20","$21-50","$21-50","$21-50","Probably would not","0-2","D-30-39"
"97",97,97,14,0.5,NA,2,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,10.5,9.4,14,2,30,4,35,53,19,"Burlington",1,"University graduate","T-25-29","C-Other","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$11-20","$6-10","$11-20","$0-5","$21-50","$21-50","$51-100","$11-20","Probably would","0-2","T-25-29"
"98",98,98,14,0.2,NA,4,"No","Yes",3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4,13,15,29,6,20,4,25,15,44,"Burlington",5,"University graduate","V-20-24","O-Student full time","B-$60,000-$79,999","Stage shows","Vendors","Food,bear,wine","Carnival","Parade","$21-50","$11-20","$11-20","$21-50","$6-10","$11-20","$21-50","$11-20","$21-50","Probably would","3-5","V-20-24"
"99",99,99,14,1,NA,1,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,5.6,10.8,11,6.4,25,5,58,20,20,"Hamilton",1,"Some or graduated from community college","A-40-49","C-Other","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$6-10","$11-20","$11-20","$6-10","$21-50","$51-100","$11-20","$11-20","Definitely would","0-2","A-40-49"
"100",100,100,14,0.1,NA,1,"Yes","No",3,2,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,14,23,5.4,20,5,48,28.6,24,"Burlington",2,"High School or less","D-30-39","M-Sales position","B-$60,000-$79,999","Stage shows","Carnival","Vendors","Parade","Food,bear,wine","$21-50","$21-50","$11-20","$21-50","$6-10","$11-20","$21-50","$21-50","$21-50","Definitely would","0-2","D-30-39"
"101",101,101,14,2,NA,3,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,15,24,19,2,65,4,21,45,16,"Burlington",3,"Some or graduated from community college","A-40-49","X-Self employed","W-$40,000-$59,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$11-20","$21-50","$11-20","$0-5","$51-100","$21-50","$21-50","$11-20","Probably would","3-5","A-40-49"
"102",102,102,14,0.5,NA,1,"Yes","Yes",5,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,4.4,8.5,12,1.6,10,5,14,10,10,"Burlington",1,"Some or graduated from community college","E-60-69","E-Reired","G-$10,000-$19,999","Parade","Stage shows","Vendors","Food,bear,wine","Carnival","$6-10","$0-5","$6-10","$11-20","$0-5","$6-10","$11-20","$6-10","$6-10","Definitely would","0-2","E-60-69"
"103",103,103,14,0.1,NA,2,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,66,27,11,10.8,109,4,44,33,34,"Other",2,"University graduate","G-50-59","Y-Professional","L-$80,000-$99,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$21-50","$51-100","$21-50","$11-20","$11-20","$101-200","$21-50","$21-50","$21-50","Probably would","0-2","G-50-59"
"104",104,104,14,0.5,NA,2,"Yes","Yes",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,17.4,24.2,22,4,41,4,30,32,14,"Hamilton",2,"Some university","G-50-59","E-Reired","B-$60,000-$79,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$21-50","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","0-2","G-50-59"
"105",105,105,14,0.2,"One time",2,"No","No",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,21,24.8,19,11.2,38,1,27,13,13,"Burlington",2,"High School or less","B-70 and older","E-Reired","D-$20,000-$39,999","Stage shows","Stage shows","Stage shows","Stage shows","Stage shows","$21-50","$21-50","$21-50","$11-20","$11-20","$21-50","$21-50","$11-20","$11-20","Definitely would not","0-2","B-70 and older"
"106",106,106,14,1,NA,3,"Yes","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13.2,17,13,2,100,5,200,100,40,"Burlington",2,"Some or graduated from community college","A-40-49","M-Sales position","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$51-100","$101-200","$51-100","$21-50","Definitely would","0-2","A-40-49"
"107",107,107,14,0.25,NA,3,"No","No",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,7.8,18,18,1,20,4,18,10,12,"Burlington",3,"Some graduate school or graduate degree","D-30-39","L-Managerial position","D-$20,000-$39,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$11-20","$6-10","$11-20","$11-20","$0-5","$11-20","$11-20","$6-10","$11-20","Probably would","3-5","D-30-39"
"108",108,108,14,1,NA,2,"Yes","No",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,5,12,7,2.2,20,2,31,5,19,"Hamilton",2,"High School or less","A-40-49","E-Reired","D-$20,000-$39,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$0-5","$11-20","$6-10","$0-5","$11-20","$21-50","$0-5","$11-20","Probably would not","0-2","A-40-49"
"109",109,109,14,1,NA,2,"No","No",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,10.35,27,10,2.8,50,4,37,30,18,"Burlington",2,"University graduate","T-25-29","A-Teacher","G-$10,000-$19,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$11-20","$11-20","$21-50","$6-10","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","0-2","T-25-29"
"110",110,110,14,0.25,NA,2,"Yes","Yes",3,5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,14.6,23,10,4.2,60,3,25,20,10,"Burlington",2,"Some or graduated from community college","D-30-39","M-Sales position","G-$10,000-$19,999","Stage shows","Parade","Carnival","Food,bear,wine","Vendors","$21-50","$11-20","$21-50","$6-10","$0-5","$51-100","$21-50","$11-20","$6-10","Might or might not","0-2","D-30-39"
"111",111,111,14,1,NA,3,"Yes","No",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10.4,7.2,17,2,5,5,79,50,19,"Burlington",3,"Some or graduated from community college","A-40-49","H-Office worker","D-$20,000-$39,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$11-20","$11-20","$6-10","$11-20","$0-5","$0-5","$51-100","$21-50","$11-20","Definitely would","3-5","A-40-49"
"112",112,112,14,1,"One time",2,"Yes","Yes",4,3,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,15.6,16,17,3.4,20,1,100,35,20,"Burlington",2,"Some or graduated from community college","G-50-59","H-Office worker","L-$80,000-$99,999","Food,bear,wine","Stage shows","Vendors","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$11-20","Definitely would not","0-2","G-50-59"
"113",113,113,14,0.1,NA,2,"Yes","Yes",3,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8.8,16.4,11,2,5,4,33,11,8,"Burlington",1,"High School or less","B-70 and older","E-Reired","G-$10,000-$19,999","Stage shows","Parade","Food,bear,wine","Carnival","Vendors","$21-50","$6-10","$11-20","$11-20","$0-5","$0-5","$21-50","$11-20","$6-10","Probably would","0-2","B-70 and older"
"114",114,114,14,0.5,NA,3,"No","No",3,2,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,13.6,19,16,7.4,80,4,40,25,30,"Burlington",4,"High School or less","D-30-39","D-Skilled labour","B-$60,000-$79,999","Stage shows","Carnival","Parade","Food,bear,wine","Vendors","$21-50","$11-20","$11-20","$11-20","$6-10","$51-100","$21-50","$21-50","$21-50","Probably would","3-5","D-30-39"
"115",115,115,14,0.5,NA,2,"Yes","Yes",3,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,12.9,13,14,3.8,24,1,136,50,49,"Burlington",2,"High School or less","G-50-59","E-Reired","L-$80,000-$99,999","Stage shows","Vendors","Food,bear,wine","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$101-200","$21-50","$21-50","Definitely would not","0-2","G-50-59"
"116",116,116,14,0.2,"One time",3,"No","No",3,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,11.2,13,9,3.2,56,2,25,26.6,38,"Burlington",3,"Some university","V-20-24","O-Student full time","B-$60,000-$79,999","Stage shows","Vendors","Parade","Food,bear,wine","Carnival","$21-50","$11-20","$11-20","$6-10","$0-5","$51-100","$21-50","$21-50","$21-50","Probably would not","3-5","V-20-24"
"117",117,117,14,0.1,NA,1,"Yes","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,21.2,12,22,3.8,20,4,15,15,10,"Burlington",1,"High School or less","A-40-49","G-Unemployed","D-$20,000-$39,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$21-50","$21-50","$11-20","$21-50","$0-5","$11-20","$11-20","$11-20","$6-10","Probably would","0-2","A-40-49"
"118",118,118,14,0.1,NA,3,"Yes","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,24,26,19,5.2,50,2,36,30,9,"Burlington",3,"University graduate","D-30-39","Y-Professional","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$21-50","$21-50","$11-20","$6-10","$21-50","$21-50","$21-50","$6-10","Probably would not","3-5","D-30-39"
